answer,a1,a2,a3,a4,filename
2,강아지,아기울음,기린,코끼리,bycaqgoncy.wav
1,노크소리,강아지,유리깨지는소리,고양이,wuqahnofus.wav
4,새소리,차경적소리,고양이,비명소리,adbinlyng.wav
1,사이렌소리,빗소리,강아지,웃음소리,abrqgjl.wav
4,부딪히는소리,깨지는소리,파도소리,강아지,aatdgs.wav
3,아기울음,비명소리,사이렌소리,바람소리,adsldvp.wav
2,웃음소리,유리깨지는소리,노크소리,드럼소리,aaigzil.wav
3,기타소리,아기울음,경적소리,세탁기소리,aasyvg.wav
3,코끼리,빗소리,강아지,피아노소리,abjxbuw.wav
1,고양이,호랑이,비명소리,웃음소리,aaqtmmg.wav
1,강아지,키보드소리,피리소리,울음소리,adbrl.wav
2,티비소리,차경적소리,리코더소리,북소리,aetecpnqo.wav
3,드럼소리,마우스클릭소리,비명소리,깨지는소리,aeaxl.wav
2,웃음소리,고양이,공사소리,파도소리,aekfs.wav
4,사자소리,바람소리,탬버린,유리깨지는소리,achufui.wav
2,고래소리,아기울음,웃음소리,악기소리,aaclgfwtni.wav
4,피리소리,알람소리,발구르는소리,비명소리,aefxginrl.wav
3,파도소리,고양이,사이렌소리,아기울음,aeiuzhym.wav
1,차경적소리,리코더소리,총소리,강아지,afzemh.wav
2,티비소리,사이렌소리,아기울음,바람소리,aeoljwtr.wav
3,드럼소리,기타소리,고양이,깨지는소리,akmesgwnq.wav
1,강아지,노크소리,바람소리,드럼소리,adviiu.wav
4,말,돼지,총소리,아기울음,aczdguy.wav
1,사이렌소리,피리소리,강아지,유리깨지는소리,afaxxcnbo.wav
4,고양이,북소리,경적소리,노크소리,adlkynfjdo.wav
3,기타소리,환호소리,아기울음,파도소리,adxckaoecc.wav
3,새소리,피아노소리,노크소리,웃음소리,agtvfeyg.wav
1,강아지,파도소리,유리깨지는소리,경적소리,aqapxg.wav
4,알람소리,웃음소리,비명소리,노크소리,amdkb.wav
3,바람소리,파도소리,경적소리,유리깨지는소리,azazj.wav
